State,Event,Patient
Tamil Nadu,E0,1792
Tamil Nadu,E0,1793
Tamil Nadu,E0,1794
Tamil Nadu,E0,1795
Tamil Nadu,E0,1796
Tamil Nadu,E0,1797
Tamil Nadu,E0,1798
Tamil Nadu,E0,1799
Tamil Nadu,E0,1800
Tamil Nadu,E0,1801
Tamil Nadu,E0,1802
Tamil Nadu,E0,1803
Tamil Nadu,E0,1804
Tamil Nadu,E0,1805
Tamil Nadu,E0,1806
Tamil Nadu,E0,1807
Tamil Nadu,E0,1808
Tamil Nadu,E0,1809
Tamil Nadu,E0,1810
Tamil Nadu,E0,1811
Tamil Nadu,E0,1812
Tamil Nadu,E0,1813
Tamil Nadu,E0,1814
Tamil Nadu,E0,1815
Tamil Nadu,E0,1816
Tamil Nadu,E0,1817
Tamil Nadu,E0,1818
Tamil Nadu,E0,1819
Tamil Nadu,E0,1820
Tamil Nadu,E0,1821
Tamil Nadu,E0,1822
Tamil Nadu,E0,1823
Tamil Nadu,E0,1824
Tamil Nadu,E0,1825
Tamil Nadu,E0,1826
Tamil Nadu,E0,1827
Tamil Nadu,E0,1828
Tamil Nadu,E0,1829
Tamil Nadu,E0,1830
Tamil Nadu,E0,1831
Tamil Nadu,E0,1832
Tamil Nadu,E0,1833
Tamil Nadu,E0,1834
Tamil Nadu,E0,1835
Tamil Nadu,E0,1836
Tamil Nadu,E0,1837
Tamil Nadu,E0,1838
Tamil Nadu,E0,1839
Tamil Nadu,E0,1840
Tamil Nadu,E0,1841
Tamil Nadu,E0,1842
Tamil Nadu,E0,1843
Tamil Nadu,E0,1844
Tamil Nadu,E0,1845
Tamil Nadu,E0,1846
Tamil Nadu,E0,1847
Tamil Nadu,E0,1848
Tamil Nadu,E0,1849
Tamil Nadu,E0,1850
Tamil Nadu,E0,1851
Tamil Nadu,E0,1852
Tamil Nadu,E0,1853
Tamil Nadu,E0,1854
Tamil Nadu,E0,1855
Tamil Nadu,E0,1856
Tamil Nadu,E0,1857
Tamil Nadu,E0,1858
Tamil Nadu,E0,1859
Tamil Nadu,E0,1860
Tamil Nadu,E0,1861
Tamil Nadu,E0,1862
Tamil Nadu,E0,1863
Tamil Nadu,E0,1864
Tamil Nadu,E0,1865
Tamil Nadu,E0,1866
Tamil Nadu,E0,1867
Tamil Nadu,E0,1868
Tamil Nadu,E0,1869
Tamil Nadu,E0,1870
Tamil Nadu,E0,2222
Tamil Nadu,E0,2223
Tamil Nadu,E0,2224
Tamil Nadu,E0,2225
Tamil Nadu,E0,2226
Tamil Nadu,E0,2227
Tamil Nadu,E0,2228
Tamil Nadu,E0,2229
Tamil Nadu,E0,2230
Tamil Nadu,E0,2231
Tamil Nadu,E0,2232
Tamil Nadu,E0,2233
Tamil Nadu,E0,2234
Tamil Nadu,E0,2235
Tamil Nadu,E0,2236
Tamil Nadu,E0,2237
Tamil Nadu,E0,2238
Tamil Nadu,E0,2239
Tamil Nadu,E0,2240
Tamil Nadu,E0,2241
Tamil Nadu,E0,2242
Tamil Nadu,E0,2243
Tamil Nadu,E0,2244
Tamil Nadu,E0,2245
Tamil Nadu,E0,2246
Tamil Nadu,E0,2247
Tamil Nadu,E0,2248
Tamil Nadu,E0,2249
Tamil Nadu,E0,2250
Tamil Nadu,E0,2251
Tamil Nadu,E0,2252
Tamil Nadu,E0,2253
Tamil Nadu,E0,2254
Tamil Nadu,E0,2255
Tamil Nadu,E0,2256
Tamil Nadu,E0,2257
Tamil Nadu,E0,2258
Tamil Nadu,E0,2259
Tamil Nadu,E0,2260
Tamil Nadu,E0,2261
Tamil Nadu,E0,2262
Tamil Nadu,E0,2263
Tamil Nadu,E0,2264
Tamil Nadu,E0,2265
Tamil Nadu,E0,2266
Tamil Nadu,E0,2267
Tamil Nadu,E0,2268
Tamil Nadu,E0,2269
Tamil Nadu,E0,2270
Tamil Nadu,E0,2271
Tamil Nadu,E0,2272
Tamil Nadu,E0,2273
Tamil Nadu,E0,2274
Tamil Nadu,E0,2275
Tamil Nadu,E0,2276
Tamil Nadu,E0,2277
Tamil Nadu,E0,2278
Tamil Nadu,E0,2279
Tamil Nadu,E0,2280
Tamil Nadu,E0,2281
Tamil Nadu,E0,2282
Tamil Nadu,E0,2283
Tamil Nadu,E0,2284
Tamil Nadu,E0,2285
Tamil Nadu,E0,2286
Tamil Nadu,E0,2287
Tamil Nadu,E0,2288
Tamil Nadu,E0,2289
Tamil Nadu,E0,2290
Tamil Nadu,E0,2291
Tamil Nadu,E0,2292
Tamil Nadu,E0,2293
Tamil Nadu,E0,2294
Tamil Nadu,E0,2744
Tamil Nadu,E0,2747
Tamil Nadu,E0,2748
Tamil Nadu,E0,2749
Tamil Nadu,E0,2750
Tamil Nadu,E0,2751
Tamil Nadu,E0,2752
Tamil Nadu,E0,2753
Tamil Nadu,E0,2754
Tamil Nadu,E0,2755
Tamil Nadu,E0,2756
Tamil Nadu,E0,2757
Tamil Nadu,E0,2758
Tamil Nadu,E0,2759
Tamil Nadu,E0,2760
Tamil Nadu,E0,2761
Tamil Nadu,E0,2762
Tamil Nadu,E0,2763
Tamil Nadu,E0,2764
Tamil Nadu,E0,2765
Tamil Nadu,E0,2766
Tamil Nadu,E0,2767
Tamil Nadu,E0,2768
Tamil Nadu,E0,2769
Tamil Nadu,E0,2770
Tamil Nadu,E0,2771
Tamil Nadu,E0,2772
Tamil Nadu,E0,2773
Tamil Nadu,E0,2774
Tamil Nadu,E0,2775
Tamil Nadu,E0,2776
Tamil Nadu,E0,2777
Tamil Nadu,E0,2778
Tamil Nadu,E0,2779
Tamil Nadu,E0,2780
Tamil Nadu,E0,2781
Tamil Nadu,E0,2782
Tamil Nadu,E0,2783
Tamil Nadu,E0,2784
Tamil Nadu,E0,2785
Tamil Nadu,E0,2786
Tamil Nadu,E0,2787
Tamil Nadu,E0,2788
Tamil Nadu,E0,2789
Tamil Nadu,E0,2790
Tamil Nadu,E0,2791
Tamil Nadu,E0,2792
Tamil Nadu,E0,2793
Tamil Nadu,E0,2794
Tamil Nadu,E0,2795
Tamil Nadu,E0,2796
Tamil Nadu,E0,2797
Tamil Nadu,E0,2798
Tamil Nadu,E0,2799
Tamil Nadu,E0,2800
Tamil Nadu,E0,2801
Tamil Nadu,E0,2802
Tamil Nadu,E0,2803
Tamil Nadu,E0,2804
Tamil Nadu,E0,2805
Tamil Nadu,E0,2806
Tamil Nadu,E0,2807
Tamil Nadu,E0,2808
Tamil Nadu,E0,2809
Tamil Nadu,E0,2810
Tamil Nadu,E0,2811
Tamil Nadu,E0,2812
Tamil Nadu,E0,2813
Tamil Nadu,E0,2814
Tamil Nadu,E0,2815
Tamil Nadu,E0,2816
Tamil Nadu,E0,2817
Tamil Nadu,E0,2818
Tamil Nadu,E0,2819
Tamil Nadu,E0,2820
Tamil Nadu,E0,2821
Tamil Nadu,E0,2822
Tamil Nadu,E0,2823
Tamil Nadu,E0,2824
Tamil Nadu,E0,2825
Tamil Nadu,E0,2826
Tamil Nadu,E0,2827
Tamil Nadu,E0,2828
Tamil Nadu,E0,2829
Tamil Nadu,E0,2830
Tamil Nadu,E0,2831
Tamil Nadu,E0,2832
Tamil Nadu,E0,2833
Tamil Nadu,E0,2834
Tamil Nadu,E0,2835
Tamil Nadu,E0,2836
Tamil Nadu,E0,2837
Tamil Nadu,E0,2838
Tamil Nadu,E0,2839
Tamil Nadu,E0,2840
Tamil Nadu,E0,2841
Tamil Nadu,E0,2842
Tamil Nadu,E0,2843
Tamil Nadu,E0,3382
Tamil Nadu,E0,3383
Tamil Nadu,E0,3384
Tamil Nadu,E0,3385
Tamil Nadu,E0,3386
Tamil Nadu,E0,3387
Tamil Nadu,E0,3388
Tamil Nadu,E0,3389
Tamil Nadu,E0,3390
Tamil Nadu,E0,3391
Tamil Nadu,E0,3392
Tamil Nadu,E0,3393
Tamil Nadu,E0,3394
Tamil Nadu,E0,3395
Tamil Nadu,E0,3396
Tamil Nadu,E0,3399
Tamil Nadu,E0,3400
Tamil Nadu,E0,3402
Tamil Nadu,E0,3403
Tamil Nadu,E0,3404
Tamil Nadu,E0,3405
Tamil Nadu,E0,3406
Tamil Nadu,E0,3407
Tamil Nadu,E0,3408
Tamil Nadu,E0,3409
Tamil Nadu,E0,3410
Tamil Nadu,E0,3411
Tamil Nadu,E0,3412
Tamil Nadu,E0,3413
Tamil Nadu,E0,3414
Tamil Nadu,E0,3415
Tamil Nadu,E0,3416
Tamil Nadu,E0,3417
Tamil Nadu,E0,3418
Tamil Nadu,E0,3419
Tamil Nadu,E0,3420
Tamil Nadu,E0,3421
Tamil Nadu,E0,3422
Tamil Nadu,E0,3423
Tamil Nadu,E0,3424
Tamil Nadu,E0,3425
Tamil Nadu,E0,3426
Tamil Nadu,E0,3427
Tamil Nadu,E0,3428
Tamil Nadu,E0,3429
Tamil Nadu,E0,3430
Tamil Nadu,E0,3431
Tamil Nadu,E0,3432
Tamil Nadu,E0,3433
Tamil Nadu,E0,3434
Tamil Nadu,E0,3435
Tamil Nadu,E0,3436
Tamil Nadu,E0,3437
Tamil Nadu,E0,3438
Tamil Nadu,E0,3439
Tamil Nadu,E0,3440
Tamil Nadu,E0,3441
Tamil Nadu,E0,3442
Tamil Nadu,E0,3443
Tamil Nadu,E0,3444
Tamil Nadu,E0,3445
Tamil Nadu,E0,3446
Tamil Nadu,E0,3447
Tamil Nadu,E0,3448
Tamil Nadu,E0,3449
Tamil Nadu,E0,3450
Tamil Nadu,E0,3451
Tamil Nadu,E0,3452
Tamil Nadu,E0,3837
Tamil Nadu,E0,3838
Tamil Nadu,E0,3839
Tamil Nadu,E0,3840
Tamil Nadu,E0,3841
Tamil Nadu,E0,3842
Tamil Nadu,E0,3843
Tamil Nadu,E0,3844
Tamil Nadu,E0,3845
Tamil Nadu,E0,3847
Tamil Nadu,E0,3848
Tamil Nadu,E0,3849
Tamil Nadu,E0,3850
Tamil Nadu,E0,3851
Tamil Nadu,E0,3852
Tamil Nadu,E0,3853
Tamil Nadu,E0,3854
Tamil Nadu,E0,3855
Tamil Nadu,E0,3856
Tamil Nadu,E0,3857
Tamil Nadu,E0,3858
Tamil Nadu,E0,3859
Tamil Nadu,E0,3860
Tamil Nadu,E0,3861
Tamil Nadu,E0,3862
Tamil Nadu,E0,3863
Tamil Nadu,E0,3864
Tamil Nadu,E0,3865
Tamil Nadu,E0,3866
Tamil Nadu,E0,3867
Tamil Nadu,E0,3868
Tamil Nadu,E0,3869
Tamil Nadu,E0,3870
Tamil Nadu,E0,3871
Tamil Nadu,E0,3872
Tamil Nadu,E0,3873
Tamil Nadu,E0,3874
Tamil Nadu,E0,3875
Tamil Nadu,E0,3876
Tamil Nadu,E0,3877
Tamil Nadu,E0,3878
Tamil Nadu,E0,3879
Tamil Nadu,E0,3880
Tamil Nadu,E0,3881
Tamil Nadu,E0,3882
Tamil Nadu,E0,3883
Tamil Nadu,E0,3884
Tamil Nadu,E0,3886
Tamil Nadu,E0,3887
Tamil Nadu,E0,3889
Tamil Nadu,E0,3890
Tamil Nadu,E0,3891
Tamil Nadu,E0,3892
Tamil Nadu,E0,3893
Tamil Nadu,E0,3894
Tamil Nadu,E0,3895
Tamil Nadu,E0,3896
Tamil Nadu,E0,3897
Tamil Nadu,E0,3898
Tamil Nadu,E0,3899
Tamil Nadu,E0,3902
Tamil Nadu,E0,3903
Tamil Nadu,E0,3904
Tamil Nadu,E0,3905
Tamil Nadu,E0,3906
Tamil Nadu,E0,3907
Tamil Nadu,E0,3908
Tamil Nadu,E0,3909
Tamil Nadu,E0,3910
Tamil Nadu,E0,3911
Tamil Nadu,E0,3912
Tamil Nadu,E0,3913
Tamil Nadu,E0,3914
Tamil Nadu,E0,3915
Tamil Nadu,E0,3916
Tamil Nadu,E0,3917
Tamil Nadu,E0,3918
Tamil Nadu,E0,3919
Tamil Nadu,E0,3920
Tamil Nadu,E0,3921
Tamil Nadu,E0,3922
Telangana,E0,141
Telangana,E0,163
Telangana,E0,164
Telangana,E0,165
Telangana,E0,166
Telangana,E0,167
Telangana,E0,168
Telangana,E0,169
Telangana,E0,252
Telangana,E0,253
Telangana,E0,1566
Telangana,E0,1567
Telangana,E0,1568
Telangana,E0,1569
Telangana,E0,1570
Telangana,E0,1571
Telangana,E0,1572
Telangana,E0,1573
Telangana,E0,1574
Telangana,E0,1575
Telangana,E0,1576
Telangana,E0,1577
Telangana,E0,1578
Telangana,E0,1579
Telangana,E0,1580
Uttar Pradesh,E0,2544
Uttar Pradesh,E0,2545
Uttar Pradesh,E1,675
Uttar Pradesh,E1,676
Uttar Pradesh,E1,677
Uttar Pradesh,E1,761
Uttar Pradesh,E1,762
Uttar Pradesh,E1,763
Uttar Pradesh,E1,933
Uttar Pradesh,E1,979
Uttar Pradesh,E1,980
Uttar Pradesh,E1,981
Uttar Pradesh,E1,1048
Uttarakhand,E0,2534
Uttarakhand,E0,2535
Uttarakhand,E0,2536
